,LONGITUDE,LATITUDE
84734,-87.728130504,41.977152882
84740,-87.807032421,41.941879662
84750,-87.674148674,41.855750841
84778,-87.687741249,41.931968066
84781,-87.649176566,41.941696341
84827,-87.637164794,41.885243233
84838,-87.649337013,41.91093474
84981,-87.630056903,41.903812639
85071,-87.620520448,41.894905816
85144,-87.660640927,41.965460917
85176,-87.65502138,41.982989018
85191,-87.680589203,41.917585992
85206,-87.663950075,41.949966595
85227,-87.634769095,41.88331786
85236,-87.656493932,41.858061856
85318,-87.703542891,41.691416187
85528,-87.668470388,41.978616154
85549,-87.664413047,41.921776704
85555,-87.632646837,41.88752864
85684,-87.667444076,41.90703875
85723,-87.654625555,41.964130219
85739,-87.691099599,41.990381096
85827,-87.618536719,41.895941873
85830,-87.760385862,41.796133547
85863,-87.626728956,41.897651538
85868,-87.678062723,41.910364022
86070,-87.666836863,41.903245307
86090,-87.653928731,41.932746527
86237,-87.631229887,41.890058266
86280,-87.689982849,41.99628183
86374,-87.708049231,41.959571527
86602,-87.763147176,41.970758728
86628,-87.686228363,41.965328383
86677,-87.668429485,41.979884283
86693,-87.690160947,41.895598358
86783,-87.620128222,41.89668041
86832,-87.712963126,41.953746187
86835,-87.616446776,41.809567038
86882,-87.635436571,41.881822494
86915,-87.676195083,41.909420031
87027,-87.625850989,41.883111687
87056,-87.710323101,41.992344902
87069,-87.650992722,41.837942966
87152,-87.645031473,41.795018985
87313,-87.795620293,41.90912536
87330,-87.630562518,41.893127755
87442,-87.69695391,41.691504033
87510,-87.625164692,41.898261619
87575,-87.63318903,41.878014487
87608,-87.615803055,41.793533064
87691,-87.652542752,41.95440629
87815,-87.625485351,41.879645907
87822,-87.582946626,41.73684227
87836,-87.659414087,41.968723711
87874,-87.650674653,41.838096528
87939,-87.624483273,41.878937382
88044,-87.630950486,41.878814822
88109,-87.648090264,41.898965335
88236,-87.657215079,41.973170643
88260,-87.644223955,41.939194111
88301,-87.661926153,42.009148492
88330,-87.632548439,41.895852573
88403,-87.759725978,41.960462424
88405,-87.747161464,41.944316998
88592,-87.678062723,41.910364022
88854,-87.624428052,41.87666158
88908,-87.714342768,41.994817043
88964,-87.73351986,41.989964243
89089,-87.649294571,41.908619727
89122,-87.631622662,41.876813973
89203,-87.728203412,41.969192303
89223,-87.642044357,41.928487374
89316,-87.625850989,41.883111687
89331,-87.634904368,41.894671024
89348,-87.740659315,41.968562454
89372,-87.759725978,41.960462424
89626,-87.624307178,41.891688517
89784,-87.683215839,41.847573841
89817,-87.621494195,41.865931037
89863,-87.636403135,41.929904874
89887,-87.596601477,41.79517545
89924,-87.661172188,41.965435189
90052,-87.656787588,41.884351914
90091,-87.651612251,41.884445042
90169,-87.626082197,41.883526492
90191,-87.649578514,41.945503653
90412,-87.741384759,41.754660124
90536,-87.669965312,41.903195593
90724,-87.690481552,41.895815261
90809,-87.626052425,41.881631187
90845,-87.63030327,41.883320033
90901,-87.641552845,41.837787743
90942,-87.645266074,41.943796776
91047,-87.655991066,41.886577325
91064,-87.619655093,41.887556041
91292,-87.689371316,41.895825283
91388,-87.67607883,41.961603816
91406,-87.629211595,41.87988544
91521,-87.629064716,41.736261699
91546,-87.626015798,41.869062517
91630,-87.653928731,41.932746527
91911,-87.626082794,41.871774309
92018,-87.655302451,41.94711896
92074,-87.684660914,41.811207688
92093,-87.795620293,41.90912536
92100,-87.626556085,41.886831512
92109,-87.669564918,41.979717097
92150,-87.666913106,41.880318779
92200,-87.714342768,41.994817043
92526,-87.632646837,41.88752864
92567,-87.582946626,41.73684227
92604,-87.699957696,41.917351609
92638,-87.657339668,41.948016352
92752,-87.609518049,41.892249163
92984,-87.650992722,41.837942966
93050,-87.631263221,41.883100962
93105,-87.631780113,41.848867887
93254,-87.654926518,41.896384295
93330,-87.641174311,41.927008096
93373,-87.699046755,41.975219998
93383,-87.627411853,41.860450996
93405,-87.630562518,41.893127755
93444,-87.588936218,41.80073555
93447,-87.644198417,41.938435181
93480,-87.690500511,42.008539539
93560,-87.624602045,41.884530964
93563,-87.689982849,41.99628183
93735,-87.622035476,41.897721501
93739,-87.677056059,41.808393615
93818,-87.629775097,41.883322199
93857,-87.632831712,41.895283321
93875,-87.648526618,41.949157243
93980,-87.617589151,41.893341296
94066,-87.628645222,41.736334713
94134,-87.623080815,41.813006066
94166,-87.631263221,41.883100962
94230,-87.623507509,41.895060786
94346,-87.629294015,41.872767
94474,-87.626556085,41.886831512
94520,-87.637163618,41.881722457
94542,-87.692049894,41.974568345
94586,-87.647858308,41.925575954
94697,-87.683215839,41.847573841
94710,-87.675668943,41.903327164
94859,-87.638091433,41.918443591
94904,-87.669492004,41.721229676
94982,-87.667915428,41.971279886
95036,-87.666763563,41.954209783
95061,-87.687616424,41.967406598
95100,-87.668912756,41.943432313
95132,-87.637024697,41.920148393
95151,-87.709903439,41.930452251
95152,-87.622574674,41.893475358
95252,-87.633188634,41.883098112
95359,-87.653928731,41.932746527
95461,-87.677383247,41.903298793
95535,-87.632120577,41.878542932
95675,-87.666019096,41.937513752
95765,-87.697095682,41.91898681
95768,-87.685770718,41.964622923
95911,-87.64511919,41.943554985
95930,-87.668495747,41.978066283
96043,-87.632120577,41.878542932
96216,-87.646297112,41.845044714
96331,-87.659213209,41.903590314
96358,-87.620970559,41.88820137
96386,-87.645577781,41.768711697
96496,-87.701411911,41.907739733
96731,-87.733667439,41.916962655
96756,-87.677830971,41.903071092
96860,-87.76603991,41.938469953
96960,-87.632674115,41.889225372
97049,-87.651182688,41.833618869
97117,-87.748872621,41.915176904
97182,-87.629775097,41.883322199
97211,-87.637155093,41.881407212
97238,-87.655474544,41.896156347
97246,-87.630755777,41.872164396
97249,-87.649097513,41.930906698
97339,-87.644951074,41.943809702
97371,-87.747161464,41.944316998
97408,-87.656986709,41.881728772
97549,-87.623980519,41.900118457
97766,-87.677191234,41.910059843
97872,-87.658421768,41.890961434
97894,-87.629781008,41.878050681
97985,-87.675813378,41.866870839
98027,-87.637058522,41.878010924
98083,-87.644399047,41.922477913
98137,-87.817099825,42.003521558
98152,-87.63311319,41.852726786
98175,-87.648378771,41.909253823
98210,-87.655642817,41.890989624
98269,-87.759257199,41.938556717
98282,-87.629610541,41.895773515
98312,-87.654982424,41.969679946
98422,-87.637024697,41.920148393
98479,-87.622166271,41.886027278
98514,-87.689982849,41.99628183
98566,-87.613882123,41.851019777
98573,-87.80453038,41.922803593
98624,-87.625050135,41.883334279
98683,-87.69352967,41.903064338
98790,-87.705233016,41.927597889
98814,-87.657382024,41.983559426
98861,-87.766175687,41.983768467
98892,-87.683211043,41.84741816
98956,-87.625572735,41.878147859
98985,-87.634661055,41.904829526
99086,-87.697356799,41.927896171
99181,-87.654625555,41.964130219
99268,-87.634414351,41.834666294
99274,-87.678130428,41.910364204
99458,-87.711574451,41.993111793
99619,-87.621986906,41.899351735
99631,-87.664281826,41.88471128
99700,-87.766468601,41.941894444
99722,-87.709708634,41.983171365
100002,-87.634769095,41.88331786
100004,-87.644951074,41.943809702
100161,-87.649511688,41.94312984
100165,-87.66100296,42.004715699
100244,-87.646504796,41.858183857
100343,-87.647385994,41.877721138
100377,-87.78921769,41.998626061
100404,-87.806280071,41.928883327
100432,-87.775692961,41.952959773
100618,-87.696303579,41.968442054
100621,-87.634626237,41.903905986
100670,-87.747005877,41.938074167
100693,-87.667223183,41.898904321
100800,-87.673923954,41.886928139
100817,-87.641487464,41.894006584
100854,-87.642849948,41.893991884
100871,-87.692785131,41.981447658
100970,-87.668912756,41.943432313
101116,-87.668252474,42.016157042
101362,-87.668841447,41.940944642
101395,-87.708499442,41.964611762
101425,-87.597378521,41.785857336
101460,-87.668309787,42.019474392
101571,-87.641529678,41.927066755
101579,-87.682540524,42.019354611
101594,-87.6624471,41.913784407
101616,-87.804534636,41.923853045
101652,-87.63030327,41.883320033
101687,-87.651612251,41.884445042
101811,-87.702436776,41.953844225
101840,-87.630502987,41.903256045
101892,-87.748453164,41.953962104
101958,-87.634538115,41.919078039
102012,-87.634592464,41.88053925
102133,-87.64868497,41.918943199
102330,-87.64699277,41.864750025
102380,-87.660378559,42.00565706
102398,-87.678062723,41.910364022
102632,-87.672429583,41.903375619
102650,-87.776489568,41.93855424
102663,-87.658378837,41.928816916
102672,-87.651182688,41.833618869
102701,-87.723303765,41.793155061
103065,-87.621494195,41.865931037
103076,-87.712664598,41.99567001
103215,-87.650992722,41.837942966
103224,-87.638007427,41.918445336
103227,-87.760385862,41.796133547
103243,-87.682092852,41.917556919
103335,-87.662832786,41.85774187
103501,-87.625953992,41.8673211
103533,-87.669869682,41.990585629
103568,-87.691099599,41.990381096
103590,-87.691408906,41.96848269
103738,-87.669225954,41.986086205
103967,-87.629421739,41.885855996
104172,-87.698895398,41.954080068
104194,-87.806246035,41.927927019
104220,-87.680589203,41.917585992
104244,-87.626138262,41.885828293
104258,-87.627416234,41.900886707
104286,-87.649514756,41.943318356
104383,-87.723950716,41.956820708
104479,-87.766390515,41.939654264
104513,-87.692834057,41.981866037
104536,-87.692785131,41.981447658
104651,-87.637164794,41.885243233
104656,-87.677830971,41.903071092
104693,-87.639098928,41.868889711
104752,-87.621438688,41.890001335
104782,-87.67578578,41.954304982
104807,-87.802627064,41.938165696
104824,-87.651182688,41.833618869
104862,-87.624501722,41.880395838
104865,-87.627332923,41.900035302
104915,-87.66879773,41.954183774
104960,-87.765056961,41.894748349
105105,-87.646504796,41.858183857
105152,-87.69785017,41.923355894
105244,-87.686089617,41.998055734
105256,-87.729632249,41.968114137
105287,-87.644078835,41.934911492
105298,-87.63030327,41.883320033
105307,-87.655752955,41.973190362
105312,-87.634538115,41.919078039
105422,-87.722270797,41.968194856
105444,-87.629211595,41.87988544
105482,-87.628242738,41.892501167
105534,-87.743003421,41.807533457
105573,-87.677329263,41.910594347
105626,-87.619668637,41.865732312
105676,-87.648010451,41.910813473
105703,-87.625867137,41.891590741
105812,-87.66139721,41.934631813
105833,-87.655843244,41.973408536
105901,-87.697094473,41.984430647
105970,-87.737996905,41.953420907
105999,-87.585799573,41.806170388
106026,-87.599500566,41.79152143
106255,-87.766390515,41.939654264
106333,-87.662647044,41.86943381
106334,-87.630391645,41.882093367
106381,-87.654949778,41.967644374
106426,-87.678062723,41.910364022
106506,-87.612866633,41.85110748
106555,-87.637058522,41.878010924
106762,-87.646795272,41.858062658
106795,-87.658111624,41.983766484
106811,-87.649529148,41.950822685
106856,-87.707145153,41.909897849
106936,-87.659363056,41.97336108
106996,-87.670761627,41.961680924
107068,-87.666866503,42.019345945
107142,-87.806767944,41.942680787
107162,-87.653928731,41.932746527
107171,-87.632457875,41.880075102
107338,-87.675668943,41.903327164
107460,-87.716263848,41.981249671
107467,-87.686089617,41.998055734
107475,-87.689651508,41.985361529
107588,-87.631229887,41.890058266
107716,-87.645743268,41.864688221
107805,-87.675783092,41.965251154
108064,-87.632556494,41.851078672
108115,-87.660378559,42.00565706
108169,-87.638245404,41.882007859
108221,-87.686838322,41.900403138
108264,-87.667232331,41.966913741
108276,-87.629922583,41.896720932
108317,-87.604905198,41.744630715
108375,-87.687616424,41.967406598
108383,-87.634538115,41.919078039
108519,-87.626034735,41.881147216
108626,-87.654377246,41.943986057
108672,-87.632120577,41.878542932
108789,-87.747675133,41.953491522
108800,-87.672920781,41.921365862
109139,-87.639098928,41.868889711
109313,-87.64868497,41.918943199
109361,-87.627948771,41.883108627
109365,-87.604769836,41.788311258
109386,-87.76603991,41.938469953
109562,-87.700835019,41.953851512
109611,-87.532645194,41.688094405
109637,-87.705061268,41.928292712
109646,-87.654377246,41.943986057
109660,-87.575451405,41.77863625
109727,-87.639670688,41.92400932
109742,-87.629064716,41.736261699
109928,-87.645882843,41.932671845
109930,-87.641119667,41.884187507
110020,-87.67913255,41.971856201
110046,-87.651256329,41.884232074
110054,-87.63318903,41.878014487
110069,-87.6229018,41.894852961
110246,-87.776594184,41.923702612
110265,-87.668912756,41.943432313
110313,-87.668912756,41.943432313
110348,-87.659104816,41.950515523
110363,-87.703863296,41.809002287
110389,-87.669564918,41.979717097
110437,-87.628242738,41.892501167
110508,-87.639758685,41.881994338
110632,-87.69785017,41.923355894
110784,-87.664542382,41.857713874
110791,-87.65502138,41.982989018
110823,-87.679075957,41.954854382
110861,-87.624307178,41.891688517
110863,-87.685607439,41.845303556
110910,-87.632674115,41.889225372
110952,-87.65502138,41.982989018
111229,-87.812280307,41.952540149
111272,-87.634729782,41.906926209
111273,-87.604982748,41.798543632
111313,-87.709631804,41.983172868
111466,-87.666745351,41.808477856
111538,-87.615421921,41.865135235
111546,-87.717125847,41.778855338
111552,-87.639499956,41.878155377
111614,-87.660640927,41.965460917
111638,-87.694874677,41.968452474
111680,-87.700835019,41.953851512
111788,-87.641395717,41.894008227
111801,-87.719078479,41.96844835
111873,-87.649529148,41.950822685
111883,-87.688830236,41.970773488
111897,-87.63311319,41.852726786
111954,-87.662742171,41.900813877
111969,-87.70159761,41.987089026
112041,-87.625867137,41.891590741
112166,-87.649568641,41.945219172
112335,-87.710388276,41.968544296
112381,-87.690025078,42.019420972
112487,-87.64868497,41.918943199
112575,-87.636297703,41.886025413
112649,-87.629775097,41.883322199
112677,-87.647385994,41.877721138
112733,-87.648781981,41.921905478
112931,-87.740659315,41.968562454
112955,-87.708744818,41.929744188
113122,-87.761089155,41.938533532
113215,-87.649529148,41.950822685
113288,-87.609518049,41.892249163
113347,-87.624313887,41.884636249
113376,-87.806968561,41.940111944
113396,-87.675668943,41.903327164
113487,-87.647385994,41.877721138
113995,-87.620128222,41.89668041
114051,-87.671180893,41.943047201
114061,-87.623945706,41.898079921
114194,-87.620034811,41.809218778
114407,-87.632062286,41.878025655
114410,-87.708499442,41.964611762
114413,-87.687738508,41.923199893
114464,-87.660283259,41.810601294
114597,-87.725958157,41.918206113
114755,-87.585799573,41.806170388
114825,-87.646795272,41.858062658
114834,-87.627110226,41.897426602
114962,-87.636523872,41.878560154
114969,-87.647493345,41.89175404
115049,-87.609518049,41.892249163
115211,-87.701205631,41.966157929
115215,-87.585772423,41.765936859
115281,-87.628645222,41.736334713
115418,-87.677706928,41.915000006
115465,-87.639670688,41.92400932
115501,-87.682735396,41.943054831
115529,-87.633829661,41.879495472
115562,-87.639098928,41.868889711
115627,-87.58767122,41.799450397
115675,-87.747258635,41.956802478
115740,-87.693220135,41.968467022
115756,-87.668429485,41.979884283
115807,-87.716263848,41.981249671
115906,-87.643563904,41.932717361
115938,-87.634769095,41.88331786
116258,-87.702043289,41.953846017
116269,-87.627305436,41.855885131
116308,-87.715899889,41.934392895
116329,-87.621777409,41.898530344
116384,-87.76175168,41.902294234
116463,-87.634414351,41.834666294
116714,-87.547296947,41.728403097
116769,-87.621438688,41.890001335
116796,-87.632595153,41.885761124
116870,-87.708499442,41.964611762
116917,-87.807002913,41.949389617
116920,-87.793740718,41.938301332
116928,-87.641808025,41.881737516
116962,-87.620128222,41.89668041
117369,-87.609518049,41.892249163
117403,-87.683712384,41.868901114
117430,-87.678062723,41.910364022
117471,-87.660135907,41.99052009
117639,-87.613882123,41.851019777
117655,-87.626082794,41.871774309
117710,-87.647581504,41.935914381
117723,-87.624274978,41.899248597
117785,-87.6474973,41.884515458
117797,-87.620831634,41.878384306
117940,-87.634168114,41.889426654
118109,-87.628503064,41.902171928
118175,-87.654949778,41.967644374
118179,-87.63311319,41.852726786
118240,-87.629922583,41.896720932
118351,-87.644326815,41.932702284
118498,-87.643720589,41.950498476
118505,-87.622955366,41.74356768
118567,-87.645991122,41.92361621
118646,-87.624390743,41.894609432
118750,-87.624272468,41.900801649
118862,-87.657494716,41.9944779
118984,-87.758346968,41.968005707
119051,-87.672033297,42.019269958
119055,-87.690303547,42.00846047
119192,-87.710780922,41.968691672
119221,-87.747057602,41.916815034
119541,-87.629775097,41.883322199
119634,-87.678130428,41.910364204
119769,-87.616446776,41.809567038
119798,-87.619668637,41.865732312
119816,-87.63318903,41.878014487
119842,-87.647452744,41.879942323
119922,-87.63236505,41.888741605
