,timeperiod_x,CCA_name,Year,crimes,year,coffeeshops
104,2010-2014,Garfield Ridge,10060,229.0,10060.0,46.0
105,2010-2014,Grand Boulevard,10060,1004.0,0.0,0.0
106,2010-2014,Greater Grand Crossing,10060,2290.0,0.0,0.0
107,2010-2014,Hegewisch,10060,48.0,0.0,0.0
108,2010-2014,Hermosa,10060,335.0,0.0,0.0
109,2010-2014,Humboldt Park,10060,2057.0,10060.0,22.0
110,2010-2014,Hyde Park,10060,451.0,10060.0,59.0
111,2010-2014,Irving Park,10060,595.0,0.0,0.0
112,2010-2014,Jefferson Park,10060,111.0,10060.0,31.0
113,2010-2014,Kenwood,10060,399.0,10060.0,21.0
114,2010-2014,Lake View,10060,1542.0,10060.0,192.0
115,2010-2014,Lincoln Park,10060,679.0,10060.0,155.0
116,2010-2014,Lincoln Square,10060,231.0,10060.0,94.0
117,2010-2014,Logan Square,10060,1195.0,10060.0,83.0
118,2010-2014,Loop,10060,1069.0,10060.0,437.0
119,2010-2014,Lower West Side,10060,366.0,10060.0,50.0
120,2010-2014,Mckinley Park,10060,160.0,0.0,0.0
121,2010-2014,Montclare,10060,76.0,10060.0,31.0
122,2010-2014,Morgan Park,10060,450.0,10060.0,15.0
123,2010-2014,Mount Greenwood,10060,39.0,0.0,0.0
124,2010-2014,Near North Side,10060,1358.0,10060.0,258.0
125,2010-2014,Near South Side,10060,242.0,10060.0,41.0
126,2010-2014,Near West Side,10060,1683.0,10060.0,240.0
127,2010-2014,New City,10060,1120.0,10060.0,6.0
128,2010-2014,North Center,10060,192.0,10060.0,57.0
129,2010-2014,North Lawndale,10060,2205.0,10060.0,18.0
130,2010-2014,North Park,10060,132.0,0.0,0.0
131,2010-2014,Norwood Park,10060,63.0,10060.0,10.0
132,2010-2014,O'Hare,10060,45.0,0.0,0.0
133,2010-2014,Oakland,10060,126.0,0.0,0.0
134,2010-2014,Portage Park,10060,470.0,10060.0,38.0
135,2010-2014,Pullman,10060,187.0,10060.0,0.0
136,2010-2014,Riverdale,10060,267.0,0.0,0.0
137,2010-2014,Rogers Park,10060,990.0,10060.0,70.0
138,2010-2014,Roseland,10060,2201.0,0.0,0.0
139,2010-2014,South Chicago,10060,1318.0,10060.0,8.0
140,2010-2014,South Deering,10060,464.0,10060.0,0.0
141,2010-2014,South Lawndale,10060,1266.0,10060.0,8.0
