,timeperiod,GEOG,crimes,coffeeshops,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,EMP,UNEMP,TOT_POP,WHITE,HISP,BLACK,ASIAN,POP_HH,AsianPerc,BlackPerc,HispPerc,WhitePerc,UnemployedPerc,EmployedPerc,Inc25k,Inc50k,Inc75k,Inc100k,Inc150k,Inc_gt150k
12,2005-2009,Burnside,127.0,33.0,510.0,240.0,193.0,43.0,29.0,41.0,26343.01493,1181.0,269.0,3508.0,20.0,0.0,3488.0,0.0,3508.0,0.0,0.9942987457240593,0.0,0.005701254275940707,0.0766818700114025,0.33665906499429876,0.14538198403648803,0.06841505131128849,0.05501710376282782,0.01225769669327252,0.008266818700114024,0.011687571265678449
13,2005-2009,Calumet Heights,639.0,0.0,1096.0,1374.0,1144.0,845.0,663.0,464.0,55616.82957,5159.0,1291.0,14382.0,195.0,601.0,13487.0,14.0,14377.0,0.0009734390209984703,0.9377694340147407,0.04178834654429148,0.013558614935335837,0.08976498400778751,0.3587122792379363,0.07620636907245168,0.09553608677513559,0.07954387428730357,0.05875399805312196,0.04609929078014184,0.032262550410235014
14,2005-2009,Chatham,2690.0,0.0,5992.573099,3663.871345,2233.397661,1065.292398,762.6842105,394.4307992,30572.34821,11516.60609,3638.317047,33271.52711,178.9472892,158.0,32442.21762,23.0,33247.52711,0.00069128176545546,0.975074498767123,0.004748805171389682,0.005378391217462816,0.10935227093638503,0.34613999086740443,0.18011115267380945,0.11012032399014221,0.06712639469826848,0.032018139548509586,0.022923029892149723,0.011854905183521046
15,2005-2009,Chicago Lawn,3050.0,0.0,5542.0,4792.0,2514.0,1518.0,858.0,192.0,34480.19437,18860.0,3878.0,54807.0,1900.0,22881.0,29311.0,439.0,54585.0,0.008009925739412848,0.5348039484007517,0.4174831682084405,0.03466710456693488,0.07075738500556499,0.34411662743810095,0.10111847026839638,0.08743408688671155,0.04587005309540752,0.027697191964530077,0.015654934588647435,0.003503202145711314
16,2005-2009,Clearing,128.0,0.0,1786.0,1722.0,1854.0,1338.0,1261.0,428.0,56587.63292,11250.0,1184.0,22716.0,11775.0,10460.0,121.0,184.0,22706.0,0.008100017608733932,0.005326642014439162,0.460468392322592,0.5183571051241416,0.05212185243880965,0.49524564183835185,0.07862299700651523,0.07580559957739039,0.08161648177496038,0.05890121500264131,0.05551153372072548,0.018841345307272408
17,2005-2009,Douglas,844.0,51.0,3789.0,2004.0,1551.0,721.0,540.0,405.0,33301.22642,7890.0,1751.0,19098.0,2271.0,570.0,13686.0,2335.0,16488.0,0.12226411142528014,0.7166195413132265,0.029846057178762174,0.11891297518064718,0.09168499319300451,0.41313226515865537,0.19839773798303487,0.10493245366006912,0.08121269242852655,0.03775264425594303,0.02827521206409048,0.02120640904806786
18,2005-2009,Dunning,234.0,81.0,3088.0,3201.0,2952.0,2410.0,2487.0,1003.0,61440.6507,21611.0,2408.0,42115.0,29975.0,9706.0,426.0,1617.0,41958.0,0.03839487118603823,0.010115160869049032,0.23046420515255847,0.7117416597411849,0.05717677787011754,0.5131425857770391,0.07332304404606435,0.07600617357236139,0.07009379081087498,0.05722426688828208,0.05905259408761724,0.02381574260952155
19,2005-2009,East Garfield Park,1573.0,7.0,3437.185442,1675.859619,763.8076257,589.0,294.0,135.0,25108.48712,5823.73061,1419.199526,21308.13736,661.9005329,367.7489639,20035.74364,92.0,20653.13736,0.004317599349284465,0.9402860185053735,0.017258616165594307,0.03106327511021827,0.0666036407604611,0.27331016839286976,0.16130858291031777,0.07864880870094035,0.035845818561965566,0.0276420219209625,0.013797545746626443,0.006335607740797856
20,2005-2009,East Side,207.0,0.0,1907.401758,1990.176353,1324.333021,663.0315869,728.483795,278.0543348,42536.27516,8978.389395,1241.599899,23482.52405,4077.432561,18581.38119,636.0,100.7102987,23472.52405,0.004288733974489424,0.0270839709839454,0.7912855172823724,0.1736368949231418,0.05287335792167538,0.38234345574959605,0.08122643689999755,0.08475138144274572,0.056396536342523194,0.028235107328677473,0.031022380449771115,0.011840904930319873
21,2005-2009,Edgewater,756.0,119.0,8848.0,7392.0,4572.0,3127.0,3121.0,2050.0,42646.29284,31269.0,3184.0,55333.0,29573.0,9019.0,8114.0,6733.0,52728.0,0.12168145591238501,0.14663943758697343,0.1629949578009506,0.5344550268375111,0.057542515316357325,0.5651058138904451,0.15990457773842012,0.13359116621184464,0.08262700377713118,0.05651238862884716,0.0564039542406882,0.03704841595431298
22,2005-2009,Edison Park,13.0,4.0,571.4823335,688.6314577,741.9200236,873.3217959,895.5342904,793.9226702,83025.7145,5881.798154,425.209133,11031.17494,10171.98633,491.7447178,0.0,241.5116618,11026.17494,0.021893557405590378,0.0,0.04457772816356042,0.9221126838552339,0.03854613269327773,0.5331977949757725,0.051806116448009115,0.06242593934422728,0.06725666374029964,0.07916852018484986,0.08118213112120222,0.07197081675508266
23,2005-2009,Englewood,2825.0,7.0,5877.0,2109.0,983.0,514.0,208.0,112.0,19102.82696,7289.0,2834.0,28824.0,170.0,275.0,28076.0,13.0,28684.0,0.0004510130446849847,0.9740494032750485,0.009540660560643907,0.005897862892034416,0.09832084374132667,0.25287954482375796,0.20389258950874273,0.07316819317235637,0.03410352484041077,0.017832361920621705,0.0072162087149597555,0.0038856508465167916
24,2005-2009,Forest Glen,49.0,25.0,967.0810811,1027.297297,937.5990991,738.8468468,1366.486486,1765.576577,90884.46373,9209.251905,671.6002287,18563.29122,13368.94915,2409.294299,300.0,2211.934515,18535.14561,0.1191563763551192,0.016160927307803125,0.12978810009747832,0.7201820513162214,0.03617894158641552,0.49610016865317486,0.0520964235080292,0.055340256467732135,0.05050823628138933,0.039801500609114505,0.07361229589113778,0.09511118239085624
25,2005-2009,Fuller Park,318.0,0.0,713.8421053,318.2631579,51.0,66.15789474,17.26315789,4.105263158,15979.40459,752.4529398,375.2378418,2994.659426,102.71218,176.4840962,2678.0,26.15593483,2980.659426,0.00873419347886807,0.8942586181083818,0.058932943982792654,0.03429845113879738,0.1253023427446003,0.2512649462797376,0.23837171569572663,0.1062769125386347,0.017030317223124522,0.022091959494829047,0.0057646481399918625,0.0013708614483361953
26,2005-2009,Gage Park,748.0,1.0,2677.0,3230.0,1905.0,827.0,620.0,146.0,38258.51047,15138.0,3372.0,39492.0,1872.0,35456.0,1745.0,400.0,39444.0,0.010128633647320976,0.04418616428643776,0.8978020864985313,0.04740200546946217,0.08538438164691584,0.3833181403828623,0.06778588068469564,0.08178871670211689,0.04823761774536615,0.020940950065836118,0.015699382153347513,0.0036969512812721566
