,names_doingbusiness,keep_row,ID,LATITUDE,LONGITUDE,LOCATION,year
226662,frank coffee station inc,1,1578446-20071216,41.970180017,-87.762595893,"(41.97018001663336, -87.76259589329928)",2007.0
226693,cafe sushi-wells,1,1122833-20080216,41.906926209,-87.634729782,"(41.906926209071756, -87.63472978194264)",2008.0
226739,piccolo mondo cafe,1,1908008-20090113,41.793514076,-87.58494662,"(41.79351407619528, -87.58494662001773)",2009.0
226776,golden apple cafe & bakery,1,2009150-20160616,41.848867887,-87.631780113,"(41.84886788715507, -87.63178011327585)",2016.0
226907,north pond cafe,1,55866-20050516,41.929904874,-87.636403135,"(41.929904873573534, -87.6364031351437)",2005.0
226945,coffee pot & mail drop,1,1823672-20070619,41.844050083,-87.652716519,"(41.84405008311835, -87.65271651853546)",2007.0
227067,cafe typhoon,1,81038-20061116,41.886027278,-87.622166271,"(41.886027277677655, -87.62216627091873)",2006.0
227073,medetearean coffee house,1,1354286-20030604,41.997655798,-87.700465666,"(41.997655797973884, -87.70046566561139)",2003.0
227186,starbucks coffee #2252,1,23067-20070516,41.989964243,-87.73351986,"(41.98996424302767, -87.73351985966113)",2007.0
227192,n'diga coffee & books,1,1446583-20040227,41.778955959,-87.710901065,"(41.778955959474544, -87.71090106516559)",2004.0
227200,grand lux cafe,1,1228222-20210316,41.893216223,-87.624812444,"(41.89321622302089, -87.62481244397594)",2021.0
227244,arturo express,1,53931-20140916,41.879616268,-87.639764523,"(41.87961626801739, -87.63976452343368)",2014.0
227307,starbucks coffee #2411,1,23135-20030516,41.884646365,-87.617248496,"(41.8846463654345, -87.61724849623945)",2003.0
227380,cafe 200 @ aon center chicago,1,1273223-20030516,41.884632076,-87.622247991,"(41.8846320757672, -87.6222479910888)",2003.0
227712,windy city cafe,1,86616-20101116,41.896384295,-87.654926518,"(41.89638429492164, -87.65492651788387)",2010.0
227752,starbucks coffee #10634,1,1843199-20070815,41.830782181,-87.626790176,"(41.83078218057412, -87.62679017621963)",2007.0
227768,super save,1,2368994-20210216,41.772838797,-87.644459579,"(41.772838797055094, -87.64445957890496)",2021.0
227884,palma restaurant & cafe,1,1246203-20021007,41.956193397,-87.708230325,"(41.956193396983295, -87.70823032541526)",2002.0
227970,subterranean cafe & cabaret,1,38547-20040516,41.910364022,-87.678062723,"(41.910364021765275, -87.67806272285702)",2004.0
227996,cafe descartes company,1,2069464-20170916,41.89479837,-87.615866646,"(41.894798370283404, -87.61586664567874)",2017.0
228019,cafe #10,1,9648-20030516,41.927927019,-87.806246035,"(41.927927018691754, -87.80624603489264)",2003.0
228026,caribou coffe co. inc.,1,1489490-20120216,41.882540202,-87.624530945,"(41.88254020245772, -87.62453094472777)",2012.0
228032,pure tea,1,2767137-20210209,41.854071035,-87.641600343,"(41.85407103506335, -87.64160034330095)",2021.0
228257,erie cafe,1,2463730-20200701,41.893991884,-87.642849948,"(41.893991883800915, -87.64284994769713)",2020.0
228365,starbucks coffee #7948,1,1520152-20070816,41.930851315,-87.787755655,"(41.93085131518802, -87.7877556545619)",2007.0
228369,"pie cafe, llc",1,2002759-20170716,41.966157929,-87.701205631,"(41.966157928904785, -87.70120563065224)",2017.0
228472,starbucks coffee #2230,1,23087-20130416,41.882205471,-87.625383771,"(41.88220547087969, -87.62538377087225)",2013.0
228478,arabia cafe,1,1818746-20141116,41.900813877,-87.662742171,"(41.900813876826746, -87.66274217074957)",2014.0
228486,"whispers coffee & tea, inc.",1,2120554-20111012,41.891688517,-87.624307178,"(41.89168851736832, -87.62430717812579)",2011.0
228500,cafe logan,1,2470396-20181016,41.785790958,-87.603744686,"(41.78579095767523, -87.60374468613567)",2018.0
228532,grand lux cafe,1,1228221-20210316,41.893216223,-87.624812444,"(41.89321622302089, -87.62481244397594)",2021.0
228557,uprising wood fired pizza cafe,1,2418359-20160125,41.918222369,-87.652888911,"(41.91822236870298, -87.65288891075613)",2016.0
228570,overflow coffee,1,2771157-20210209,41.862736135,-87.623899396,"(41.86273613494158, -87.62389939559147)",2021.0
228684,starbucks coffee #2412,1,23133-20040516,41.904472544,-87.640333624,"(41.90447254385478, -87.64033362435434)",2004.0
228757,cafecito,1,1914557-20201016,41.8757876,-87.62663329,"(41.875787600378416, -87.62663328984893)",2020.0
228782,the coffee alley,1,2196251-20141216,41.86953213,-87.656345422,"(41.86953212959898, -87.65634542207809)",2014.0
228896,efes cafe,1,2036600-20100521,41.883322199,-87.629775097,"(41.88332219914999, -87.62977509664286)",2010.0
229002,native foods cafe,1,2084337-20130816,41.908871127,-87.675337425,"(41.908871127140785, -87.6753374248646)",2013.0
229022,eddy's cafe inc.,1,1478348-20051116,41.968383154,-87.703818735,"(41.968383153992136, -87.70381873488532)",2005.0
229085,cafe latin bliss,1,8405-20051116,41.981866037,-87.692834057,"(41.98186603682908, -87.69283405676238)",2005.0
229144,junebug cafe,1,2770955-20210209,41.897580364,-87.667186412,"(41.89758036350436, -87.66718641217582)",2021.0
229165,starbucks coffee #223,1,23036-20070516,41.892501167,-87.628242738,"(41.89250116694964, -87.62824273781878)",2007.0
229214,joe's be bop cafe & emporium,1,52925-20020516,41.892249163,-87.609518049,"(41.892249163400116, -87.60951804879336)",2002.0
229545,ms. minnie's soul food cafe,1,2008447-20091124,41.752474748,-87.585337857,"(41.75247474817247, -87.5853378565354)",2009.0
229636,ain't she sweet cafe,1,1739999-20070216,41.812177334,-87.606770673,"(41.81217733406391, -87.60677067256535)",2007.0
229717,tripolis  cafe,1,1545858-20051116,41.968455172,-87.694535197,"(41.96845517230248, -87.6945351971874)",2005.0
229840,baba's coffee,1,2156750-20120524,41.982581818,-87.708995751,"(41.98258181784537, -87.70899575100229)",2012.0
229962,erie cafe,1,37220-20040516,41.893991884,-87.642849948,"(41.893991883800915, -87.64284994769713)",2004.0
230059,pannenkoeken cafe,1,1998768-20091215,41.968412426,-87.688755112,"(41.96841242589265, -87.68875511181906)",2009.0
230093,the fix cafe,1,1819951-20071018,41.954674472,-87.649532171,"(41.95467447196494, -87.64953217112523)",2007.0
230174,green street smoked meats/high five ramen/sawada coffee,1,2252844-20140321,,,,2014.0
230194,starbucks coffee #2510,1,1124102-20090416,41.889682961,-87.637120956,"(41.889682960687374, -87.63712095614753)",2009.0
230245,corner bakery cafe,1,1649263-20140916,41.878581561,-87.638578668,"(41.87858156072147, -87.6385786681057)",2014.0
230297,starbucks coffee #11125,1,1741650-20130416,41.925157007,-87.660111975,"(41.92515700661516, -87.66011197475856)",2013.0
230316,"faz's bakery and cafe, inc.",1,1800656-20070716,41.965463953,-87.660405594,"(41.96546395271382, -87.66040559369442)",2007.0
230406,horizon cafe,1,1495171-20100616,41.951390151,-87.649469468,"(41.951390150873834, -87.64946946794332)",2010.0
230415,luciano cafe,1,1304395-20051116,41.968666678,-87.695634548,"(41.96866667784164, -87.69563454792815)",2005.0
230443,labriola bakery cafe,1,2379550-20170516,41.891897076,-87.624016289,"(41.891897075755246, -87.62401628855874)",2017.0
230460,cafe luigi,1,1093231-20060516,41.929001368,-87.642665593,"(41.92900136788458, -87.64266559286979)",2006.0
230465,revolucion cafe and grill,1,1246149-20030216,41.858092369,-87.654704641,"(41.85809236854504, -87.65470464143156)",2003.0
230849,indie cafe,1,1893492-20170816,41.99052009,-87.660135907,"(41.990520089587605, -87.6601359073641)",2017.0
231010,andrews restaurant,1,6538-20020516,41.893272906,-87.625564145,"(41.89327290630391, -87.62556414466812)",2002.0
231043,starbucks coffee #212,1,23027-20030516,41.879302729,-87.631002223,"(41.8793027287716, -87.63100222341788)",2003.0
231267,janik's cafe,1,1679707-20121116,41.903072506,-87.677755184,"(41.90307250619249, -87.67775518394137)",2012.0
231392,chicago beach cafe,1,1165677-20021116,41.92616072,-87.631514665,"(41.92616071981185, -87.6315146648261)",2002.0
231397,starbucks coffee #2494,1,1139800-20030216,41.928816916,-87.658378837,"(41.928816915505855, -87.65837883656692)",2003.0
231424,rehydrate water bar & cafe,1,1817167-20130316,41.944316998,-87.747161464,"(41.94431699793207, -87.74716146412266)",2013.0
231507,"la montana's cafe, inc.",1,1675118-20071116,41.968544296,-87.710388276,"(41.968544296134745, -87.71038827550676)",2007.0
231601,"bocadillos cafe, inc",1,1694709-20080216,41.900334724,-87.637463095,"(41.90033472432364, -87.63746309536123)",2008.0
231610,city cafe inc.,1,2391792-20150429,41.940144386,-87.72735832,"(41.94014438603069, -87.72735832046867)",2015.0
231644,starbucks coffee #2484,1,1139807-20070516,41.898261619,-87.625164692,"(41.89826161908875, -87.62516469194003)",2007.0
231646,everybody's coffee,1,2304448-20141205,41.96533475,-87.65377547,"(41.96533475021083, -87.65377546985945)",2014.0
231670,indie cafe,1,1899260-20150816,41.99052009,-87.660135907,"(41.990520089587605, -87.6601359073641)",2015.0
231740,roscoe's tavern & cafe,1,2049506-20100806,41.943659495,-87.64952321,"(41.94365949516102, -87.64952321049357)",2010.0
231790,cafe zipo,1,1990830-20130216,41.984079929,-87.696491825,"(41.98407992903923, -87.69649182480227)",2013.0
231821,cajun cafe & grill,1,1093110-20011116,41.754660124,-87.741384759,"(41.75466012439374, -87.74138475860521)",2001.0
232136,european cafe,1,77184-20021116,41.796133547,-87.760385862,"(41.79613354689054, -87.7603858621191)",2002.0
232265,"safari cup coffee, inc.",1,1991910-20110216,41.943579053,-87.66406879,"(41.94357905335495, -87.6640687897183)",2011.0
232346,venice cafe,1,1718943-20080916,41.878560154,-87.636523872,"(41.87856015362371, -87.63652387205532)",2008.0
232360,mannys coffee shop inc,1,5945-20040816,41.867728804,-87.642058833,"(41.8677288042357, -87.64205883259166)",2004.0
232379,cafe bonhomme,1,22708-20030516,41.885243233,-87.637164794,"(41.8852432326908, -87.63716479430107)",2003.0
232380,starbucks coffee #2235,1,23091-20020516,41.89097873,-87.615646043,"(41.89097872954708, -87.61564604281148)",2002.0
232467,starbucks coffee #227,1,23033-20170416,41.943554985,-87.64511919,"(41.943554985172355, -87.6451191903812)",2017.0
232497,the waterfront cafe,1,1974241-20150816,41.995202222,-87.655398306,"(41.99520222185558, -87.65539830565382)",2015.0
232570,ambassador cafe,1,66653-20020816,41.947196453,-87.668715958,"(41.94719645308579, -87.66871595779075)",2002.0
232625,cafe brauer,1,82245-20190916,41.919078039,-87.634538115,"(41.91907803902013, -87.63453811504745)",2019.0
232706,northstar coffee,1,50696-20040816,41.736261699,-87.629064716,"(41.7362616993756, -87.62906471642536)",2004.0
232863,starbucks coffee,1,2138254-20120814,41.932746527,-87.653928731,"(41.93274652745159, -87.65392873099422)",2012.0
232868,hiro's cafe,1,1933808-20090216,41.935989257,-87.644408587,"(41.935989256760124, -87.64440858727015)",2009.0
232896,absinthe cafe,1,34114-20141116,41.910594347,-87.677329263,"(41.910594346670926, -87.67732926334)",2014.0
232977,cafe society inc,1,1171329-20020816,41.857838242,-87.622184053,"(41.85783824203235, -87.62218405329706)",2002.0
233004,cis cafe,1,1743117-20090716,41.791267164,-87.602711289,"(41.79126716396833, -87.60271128899744)",2009.0
233005,the ark cafe & treasures,1,1884396-20080114,41.903725477,-87.662474064,"(41.90372547737016, -87.66247406362302)",2008.0
233013,intelligentsia coffee & tea inc.,1,1352786-20160916,41.878050681,-87.629781008,"(41.878050680824906, -87.62978100842273)",2016.0
233211,starbucks coffee #2443,1,1046018-20110416,41.910278011,-87.677515948,"(41.91027801081319, -87.67751594839523)",2011.0
233294,cafe mimoza,1,1245673-20170916,41.968452474,-87.694874677,"(41.96845247365508, -87.69487467681566)",2017.0
233448,heaven on seven,1,47014-20070516,41.883526492,-87.626082197,"(41.88352649174743, -87.62608219678731)",2007.0
233606,bacci cafe and pizzeria on milwaukee ave. inc.,1,1444299-20190816,41.96055088,-87.754230747,"(41.96055088007665, -87.7542307472157)",2019.0
233628,renaissance cafe,1,1474075-20040513,41.886704229,-87.62805356,"(41.88670422864661, -87.62805355978018)",2004.0
233688,cafe at the cultural center,1,1577601-20080916,41.883334279,-87.625050135,"(41.883334279293905, -87.6250501351137)",2008.0
233691,starbucks coffee #2224,1,23084-20090416,41.890058266,-87.631229887,"(41.890058266027715, -87.63122988738189)",2009.0
233696,starbucks coffee  #2635,1,1276340-20070516,41.968723711,-87.659414087,"(41.96872371055819, -87.65941408749583)",2007.0
233747,latin bliss cafe,1,1884765-20130916,41.981447658,-87.692785131,"(41.981447658191406, -87.6927851305354)",2013.0
233789,cafe bonhomme,1,22708-20020516,41.885243233,-87.637164794,"(41.8852432326908, -87.63716479430107)",2002.0
233865,andy' s cafe,1,2032668-20120616,41.909883748,-87.716751343,"(41.90988374801486, -87.71675134304142)",2012.0
233911,cafe latin bliss,1,8405-20130916,41.981866037,-87.692834057,"(41.98186603682908, -87.69283405676238)",2013.0
233954,aroma coffee co inc,1,4121-20020816,41.876449244,-87.65482743,"(41.876449243826485, -87.65482742971034)",2002.0
233998,sip coffeehouse,1,79354-20101116,41.890961434,-87.658421768,"(41.89096143449703, -87.65842176800524)",2010.0
234011,cafe el tapatio,1,2097987-20110516,41.943432313,-87.668912756,"(41.943432313397565, -87.66891275635102)",2011.0
234044,tin whistle,1,2744966-20210210,41.998404308,-87.789014216,"(41.99840430798829, -87.78901421649417)",2021.0
234056,flamingo cafe,1,33013-20070216,41.79456475,-87.769144491,"(41.79456474995328, -87.76914449094998)",2007.0
234167,whole foods market,1,2340694-20210216,41.925268276,-87.653487564,"(41.925268275703296, -87.65348756413924)",2021.0
234184,cafeteria marianao,1,1045613-20041116,41.921614362,-87.695481429,"(41.92161436223205, -87.6954814291355)",2004.0
234223,cafe descartes inc,1,1120305-20130916,41.872004019,-87.647173229,"(41.872004018831724, -87.64717322942732)",2013.0
234243,favorite cafe,1,1330886-20041116,41.968540487,-87.710782676,"(41.96854048739687, -87.71078267590296)",2004.0
234371,university of chicago cafeteria,1,14449-20150716,41.787850042,-87.601985186,"(41.78785004228531, -87.60198518558765)",2015.0
234430,hyatt center cafe,1,1768745-20180416,41.880717575,-87.636589107,"(41.880717575265145, -87.63658910737162)",2018.0
234468,cafe tola,1,2142460-20150116,41.947496137,-87.664173175,"(41.947496136751546, -87.66417317539015)",2015.0
234569,fft cafe,1,2027070-20140916,41.881407212,-87.637155093,"(41.88140721163485, -87.63715509324663)",2014.0
234804,starbuck coffee #2615,1,1357035-20090416,41.939404859,-87.683077146,"(41.939404858528796, -87.68307714601951)",2009.0
234882,"siam cafe,thai restaurant",1,10488-20150716,41.967644374,-87.654949778,"(41.967644373820626, -87.65494977781395)",2015.0
234995,cafe' gogo's,1,69440-20011116,41.968461303,-87.693856639,"(41.968461303175566, -87.69385663931219)",2001.0
235114,whole foods market,1,2368402-20210216,41.801829631,-87.587826048,"(41.80182963116751, -87.5878260476961)",2021.0
235143,starbucks coffee #228,1,23043-20170416,41.9179944,-87.653415624,"(41.91799439993257, -87.65341562435047)",2017.0
235146,cafe con leche,1,2621133-20180830,41.929818108,-87.708865544,"(41.92981810773004, -87.70886554390576)",2018.0
235247,university of chicago hospital coffee cart,1,1304244-20090716,41.788311258,-87.604769836,"(41.788311258410836, -87.60476983588067)",2009.0
235249,turquoise cafe,1,1381577-20040121,41.943054831,-87.682735396,"(41.94305483117927, -87.68273539578196)",2004.0
235375,ann sather's cafe,1,2172454-20210216,41.943809702,-87.644951074,"(41.94380970211237, -87.64495107447185)",2021.0
235384,starbucks coffee #28867,1,2477157-20170416,41.887542941,-87.624407002,"(41.88754294139151, -87.62440700245574)",2017.0
235415,mather's-more than a cafe,1,1226821-20021024,41.923340816,-87.804545589,"(41.923340815503735, -87.80454558851432)",2002.0
235547,"southport grocery and cafe, inc.",1,1357037-20130216,,,,2013.0
235578,starbucks coffee #2397,1,23122-20050516,41.965435189,-87.661172188,"(41.965435189323436, -87.66117218838588)",2005.0
235583,bridgeport coffee,1,2262430-20151116,41.869009602,-87.632767198,"(41.869009601971065, -87.63276719824987)",2015.0
235723,starbucks coffee #2229,1,23086-20110416,41.878006063,-87.634022032,"(41.87800606262711, -87.63402203216754)",2011.0
235840,cafe il cortile,1,1122723-20051116,41.966453173,-87.838385258,"(41.96645317297049, -87.83838525840713)",2005.0
235863,subterranean cafe & cabaret,1,38548-20020516,41.910364022,-87.678062723,"(41.910364021765275, -87.67806272285702)",2002.0
235866,oak street beach cafe,1,1358611-20100116,41.789329323,-87.741645644,"(41.789329323265385, -87.74164564419637)",2010.0
235868,rumor's cafe,1,39482-20030516,41.984430647,-87.697094473,"(41.984430646590845, -87.69709447302681)",2003.0
235886,oak street beach cafe,1,2419424-20150812,41.862904001,-87.701866545,"(41.86290400128565, -87.70186654467679)",2015.0
235954,stevie b's rib cafe,1,1143464-20011116,41.90703875,-87.667444076,"(41.90703874954132, -87.66744407587532)",2001.0
236031,dollop coffee,1,2446485-20160329,41.883099158,-87.634600363,"(41.88309915782265, -87.63460036317278)",2016.0
236045,infuse hospitality,1,2583809-20200516,41.878560154,-87.636523872,"(41.87856015362371, -87.63652387205532)",2020.0
236256,mannys coffee shop inc,1,5944-20030816,41.867728804,-87.642058833,"(41.8677288042357, -87.64205883259166)",2003.0
236273,madison street cafe,1,1331003-20140416,41.882093367,-87.630391645,"(41.882093367301316, -87.63039164462683)",2014.0
236338,infusion cafe,1,1986080-20090825,41.993313389,-87.712366868,"(41.99331338913685, -87.71236686846875)",2009.0
236344,starbucks coffee,1,23094-20110416,41.880557025,-87.637131776,"(41.8805570251432, -87.63713177610846)",2011.0
236624,whole foods market,1,2320019-20210216,41.881815632,-87.647214717,"(41.88181563164203, -87.64721471704077)",2021.0
236697,whole foods market,1,2333805-20210216,41.89168984,-87.620444135,"(41.891689839806666, -87.62044413482636)",2021.0
236739,happy cafe,1,70372-20080616,41.849441688,-87.631791074,"(41.84944168775224, -87.63179107433243)",2008.0
236753,petra cafe,1,1494092-20040706,41.877351192,-87.635042769,"(41.87735119229724, -87.63504276859136)",2004.0
236853,collaboration cafe,1,2570145-20200116,41.981198391,-87.837238725,"(41.98119839122929, -87.83723872496944)",2020.0
236876,cafe renee inc,1,25260-20070216,41.777559669,-87.781716617,"(41.777559668636364, -87.78171661702254)",2007.0
236932,kristoffer's cafe & bakery,1,1443461-20040216,41.858183857,-87.646504796,"(41.85818385686724, -87.64650479620137)",2004.0
236975,"euroamerican foods, inc./cafe iberico",1,29145-20080516,41.895852573,-87.632548439,"(41.89585257257997, -87.63254843872532)",2008.0
237007,starbucks coffee #228,1,23044-20050516,41.9179944,-87.653415624,"(41.91799439993257, -87.65341562435047)",2005.0
237046,cafe luigi,1,1093231-20130416,41.929001368,-87.642665593,"(41.92900136788458, -87.64266559286979)",2013.0
237084,"la salle cafe luna, inc.",1,2511163-20180216,41.87431165,-87.625403268,"(41.874311649991895, -87.6254032675253)",2018.0
237298,chiya chai cafe,1,2432645-20200616,41.931448844,-87.711547088,"(41.93144884388019, -87.71154708820332)",2020.0
237356,art zone gallery cafe,1,1300871-20030930,41.983160841,-87.710452361,"(41.983160840891806, -87.71045236108006)",2003.0
237379,taza cafe,1,2334909-20140702,41.885248027,-87.635545917,"(41.885248026568625, -87.63554591705974)",2014.0
237380,cafe brauer,1,82245-20071116,41.919078039,-87.634538115,"(41.91907803902013, -87.63453811504745)",2007.0
237400,xando coffee & bar / cosi sandwich bar,1,85-20061116,41.891590741,-87.625867137,"(41.891590741083505, -87.62586713724458)",2006.0
237475,cafe 28,1,45905-20020516,41.954323838,-87.674320837,"(41.95432383794356, -87.67432083688223)",2002.0
237600,la quinta inn & suites chicago lake shore / lake shore cafe,1,36137-20030516,41.806170388,-87.585799573,"(41.806170387632804, -87.58579957251453)",2003.0
237601,berry's cafe,1,1194634-20020328,41.779052369,-87.690302685,"(41.77905236928871, -87.69030268459315)",2002.0
237613,absinthe cafe,1,34114-20071116,41.910594347,-87.677329263,"(41.910594346670926, -87.67732926334)",2007.0
237652,north pond cafe,1,55867-20110416,41.929904874,-87.636403135,"(41.929904873573534, -87.6364031351437)",2011.0
237692,starbucks coffee #2515,1,1143770-20050516,41.92361621,-87.645991122,"(41.92361620972698, -87.64599112233753)",2005.0
237704,7-eleven #32261d,1,2762785-20210210,41.965791672,-87.688670765,"(41.965791672217485, -87.68867076537488)",2021.0
237793,starbucks coffee #2494,1,1139799-20020216,41.928816916,-87.658378837,"(41.928816915505855, -87.65837883656692)",2002.0
237846,whole foods market,1,2348754-20210216,41.991181753,-87.660155083,"(41.9911817534467, -87.6601550832236)",2021.0
237868,rightspirit coffee shop,1,1221630-20040216,41.887043216,-87.770812372,"(41.88704321554462, -87.77081237223072)",2004.0
237934,subterranean cafe & cabaret,1,38553-20020516,41.910364022,-87.678062723,"(41.910364021765275, -87.67806272285702)",2002.0
237989,caribou coffee company,1,52559-20040216,41.937140196,-87.648227548,"(41.93714019635578, -87.64822754792601)",2004.0
238132,crown cafe inc.,1,1645647-20051108,41.939868884,-87.664170666,"(41.93986888377263, -87.66417066625274)",2005.0
238239,lasalle cafe luna,1,1168341-20120216,41.895283321,-87.632831712,"(41.89528332134926, -87.63283171218256)",2012.0
238337,coffee tree & tea leaves,1,11694-20120616,41.950822685,-87.649529148,"(41.950822684940256, -87.64952914754652)",2012.0
238354,stans donuts & coffee,1,2627554-20181017,41.943325138,-87.678514433,"(41.94332513800031, -87.67851443293753)",2018.0
238461,"la montana's cafe, inc.",1,1649720-20051222,41.968544296,-87.710388276,"(41.968544296134745, -87.71038827550676)",2005.0
238484,hard rock cafe,1,51237-20021116,41.893127755,-87.630562518,"(41.89312775453658, -87.63056251830054)",2002.0
238641,the peacok cafe,1,1223123-20020213,41.981216496,-87.6552678,"(41.98121649615771, -87.65526779965965)",2002.0
238644,tuscany cafe,1,1916161-20101016,42.008536401,-87.914428439,"(42.008536400868735, -87.91442843927047)",2010.0
238652,frannie's cafe,1,2412069-20170916,41.873908456,-87.625837706,"(41.87390845559158, -87.62583770570953)",2017.0
238673,cafe restaurant art,1,1144116-20130916,41.966571693,-87.693893491,"(41.966571693001114, -87.69389349093929)",2013.0
238768,starbucks coffee #2201,1,23053-20030516,41.94711896,-87.655302451,"(41.947118959575704, -87.65530245115706)",2003.0
238798,cafe laguardia west,1,1489154-20040517,41.90912536,-87.795620293,"(41.90912535950116, -87.79562029285854)",2004.0
238837,metropolis coffee company,1,1379788-20031202,41.994481857,-87.65710042,"(41.994481856507505, -87.65710041981102)",2003.0
238895,cafe typhoon,1,1195227-20040816,41.891688517,-87.624307178,"(41.89168851736832, -87.62430717812579)",2004.0
238939,starbucks coffee #225,1,23063-20060516,41.885855996,-87.629421739,"(41.88585599581413, -87.6294217392213)",2006.0
239003,groundswell coffee roasters,1,2608638-20180712,41.961426337,-87.684021397,"(41.961426336794716, -87.68402139733655)",2018.0
239050,star lounge coffee bar,1,2341038-20140709,41.895598358,-87.690160947,"(41.89559835844706, -87.69016094671237)",2014.0
239082,gold coast cafe,1,43189-20050216,41.902171928,-87.628503064,"(41.90217192822106, -87.62850306384912)",2005.0
239091,dk cafe,1,1520405-20050525,41.938504875,-87.78027566,"(41.9385048752176, -87.78027565968289)",2005.0
239251,west egg cafe,1,44615-20040816,41.893365397,-87.620422057,"(41.89336539713901, -87.62042205744733)",2004.0
239423,over easy cafe,1,1648134-20060303,41.971856201,-87.67913255,"(41.971856201052205, -87.67913255021972)",2006.0
239535,starfuit cafe,1,2340626-20140624,41.831092103,-87.612916293,"(41.831092102902375, -87.61291629312142)",2014.0
239706,"litttle branch cafe, inc.",1,1844118-20110416,41.865931037,-87.621494195,"(41.86593103671971, -87.62149419520398)",2011.0
239767,funnel world & cafe,1,2373520-20150112,41.75035447,-87.65593891,"(41.75035447015201, -87.65593891013951)",2015.0
239818,coco pazzo cafe,1,1446691-20040226,41.893613919,-87.622872332,"(41.893613918700275, -87.62287233192205)",2004.0
239866,starbucks coffee #222,1,23099-20050516,41.921581373,-87.664565129,"(41.921581373212874, -87.6645651292835)",2005.0
239900,power books & coffee stop,1,68881-20011116,41.670442381,-87.640403114,"(41.67044238066196, -87.64040311382024)",2001.0
239950,blanz pantry,1,2353875-20181216,41.965676246,-87.70853612,"(41.96567624582396, -87.708536119944)",2018.0
240130,starbucks coffee #2201,1,23054-20050516,41.94711896,-87.655302451,"(41.947118959575704, -87.65530245115706)",2005.0
240276,starbucks coffee #11953,1,1800744-20070716,41.722293289,-87.580432468,"(41.722293289261756, -87.58043246846964)",2007.0
240389,bien me sabe venezuelan cafe & restaurant,1,2437491-20151203,41.961461421,-87.670756999,"(41.96146142077134, -87.67075699851459)",2015.0
240436,alanwar restaurant & cafe,1,1380824-20030916,41.765883981,-87.722293941,"(41.76588398058399, -87.72229394129972)",2003.0
240553,cafe laguardia west,1,1577016-20070216,41.90912536,-87.795620293,"(41.90912535950116, -87.79562029285854)",2007.0
240571,starbuck's coffee #2568,1,1249522-20030516,41.953420907,-87.737996905,"(41.9534209071039, -87.73799690512112)",2003.0
240655,polo cafe and catering bridgeport u.s.a.,1,1742080-20110316,41.833618869,-87.651182688,"(41.83361886880686, -87.65118268844637)",2011.0
240669,sunrise cafe,1,1514772-20040728,41.976026016,-87.67218824,"(41.97602601608456, -87.67218823998455)",2004.0
240745,cafe #10,1,2470706-20180216,41.927927019,-87.806246035,"(41.927927018691754, -87.80624603489264)",2018.0
240935,cafe aorta,1,1771627-20070216,41.854118907,-87.67609568,"(41.85411890702192, -87.6760956800156)",2007.0
241045,7 plates cafe,1,1874130-20170416,41.922477913,-87.644399047,"(41.922477913374195, -87.64439904705058)",2017.0
241158,cafe amante,1,1473003-20051116,41.940111944,-87.806968561,"(41.94011194402083, -87.80696856103847)",2005.0
241233,polygon cafe,1,2196397-20180216,41.976357481,-87.668567779,"(41.97635748112271, -87.66856777865902)",2018.0
241247,"southport grocery and cafe, inc.",1,1739804-20070216,,,,2007.0
241527,grillers cafe,1,66413-20050516,41.897651538,-87.626728956,"(41.897651537750946, -87.62672895599906)",2005.0
241572,geja's cafe,1,257-20040516,41.918445336,-87.638007427,"(41.918445336371185, -87.63800742700411)",2004.0
241650,north coast cafe,1,1695243-20060816,41.947788761,-87.64737759,"(41.947788760811356, -87.64737758987256)",2006.0
241735,papi's cafe,1,1974512-20090618,41.941625865,-87.7282299,"(41.94162586513457, -87.72822990010388)",2009.0
241737,rosebud cafe,1,25695-20140516,41.869409054,-87.66419709,"(41.86940905403705, -87.66419709016535)",2014.0
241821,dunkin donuts,1,1273771-20030816,41.84755805,-87.645495992,"(41.84755805016441, -87.64549599168248)",2003.0
241983,d4 irish pub & cafe,1,1804576-20130316,41.892518301,-87.618502427,"(41.89251830082217, -87.61850242693725)",2013.0
242013,bella luna cafe,1,86092-20070216,41.895773515,-87.629610541,"(41.89577351496085, -87.62961054088532)",2007.0
242037,hurricane coffee company,1,2693879-20200227,41.955681825,-87.688662954,"(41.95568182462683, -87.68866295404592)",2020.0
242080,coco pazzo cafe,1,1446691-20070516,41.893613919,-87.622872332,"(41.893613918700275, -87.62287233192205)",2007.0
242085,brothers coffee shop inc,1,2055612-20101004,41.967283023,-87.708583207,"(41.96728302315077, -87.70858320665874)",2010.0
242087,cafe swiss,1,59644-20041116,41.887556041,-87.619655093,"(41.887556040948596, -87.61965509328479)",2004.0
242125,the coffee beanery,1,1578379-20051116,41.921288072,-87.677896155,"(41.921288071895454, -87.67789615505565)",2005.0
242178,dock street cafe,1,1044329-20050516,41.892249163,-87.609518049,"(41.892249163400116, -87.60951804879336)",2005.0
242223,piccolo mondo cafe,1,1937297-20150716,41.793514076,-87.58494662,"(41.79351407619528, -87.58494662001773)",2015.0
242251,andy' s cafe,1,2069112-20110323,41.909883748,-87.716751343,"(41.90988374801486, -87.71675134304142)",2011.0
242256,lula cafe,1,1166774-20071116,41.927653196,-87.707119009,"(41.92765319605931, -87.70711900893733)",2007.0
