,Unnamed: 0,LONGITUDE,LATITUDE,CCA
114,65724,-87.665999102,41.857968298,LOWER WEST SIDE
115,65742,-87.652255882,41.908854656,RIVER NORTH
116,65784,-87.658421768,41.890961434,"WICKER PARK,WEST TOWN"
117,65973,-87.804536423,41.923010423,"MONTCLARE, GALEWOOD"
118,65984,-87.630950486,41.878814822,LOOP
119,66040,-87.755099396,41.961553844,PORTAGE PARK
120,66236,-87.65593891,41.75035447,AUBURN GRESHAM
121,66284,-87.619668637,41.865732312,MUSEUM CAMPUS
122,66399,-87.741645644,41.789329323,MIDWAY AIRPORT
123,66414,-87.648781981,41.921905478,SHEFFIELD & DEPAUL
124,66424,-87.748475228,41.991483828,"SAUGANASH,FOREST GLEN"
125,66689,-87.626696815,41.893404102,RIVER NORTH
126,66954,-87.675783092,41.965251154,LINCOLN SQUARE
127,66958,-87.631791074,41.849441688,"ARMOUR SQUARE,CHINATOWN"
128,66972,-87.653928731,41.932746527,LAKE VIEW
129,67011,-87.668917327,41.943602072,LAKE VIEW
130,67133,-87.626344413,41.887436519,LOOP
131,67201,-87.806629163,41.938822683,DUNNING
132,67295,-87.632595153,41.885761124,LOOP
133,67322,-87.671180893,41.943047201,LAKE VIEW
134,67481,-87.677301195,41.899503896,UKRAINIAN VILLAGE AND EAST VILLAGE
135,67557,-87.647452744,41.879942323,GREEKTOWN
136,67687,-87.628285807,41.894183225,RIVER NORTH
137,67965,-87.726631563,41.844335261,LITTLE VILLAGE
138,68002,-87.683713616,41.894774507,"WICKER PARK,WEST TOWN"
139,68156,-87.620736038,41.893286702,
140,68216,-87.690796243,41.961408694,LINCOLN SQUARE
141,68234,-87.666849361,41.877924584,UNITED CENTER
142,68265,-87.654133137,41.936372506,LAKE VIEW
143,68313,-87.632646837,41.88752864,RIVER NORTH
144,68350,-87.642044357,41.928487374,LINCOLN PARK
145,68397,-87.646795272,41.858062658,LOWER WEST SIDE
146,68500,-87.652888911,41.918222369,LINCOLN PARK
147,68551,-87.685770718,41.964622923,LINCOLN SQUARE
148,68645,-87.74127656,41.787835631,MIDWAY AIRPORT
149,68656,-87.640615745,41.892233722,RIVER NORTH
150,68716,-87.674122161,42.009034911,ROGERS PARK
151,68798,-87.627914756,41.891418101,RIVER NORTH
152,68981,-87.638007427,41.918445336,LINCOLN PARK
153,69040,-87.625867137,41.891590741,RIVER NORTH
154,69066,-87.632303735,41.885822048,LOOP
155,69080,-87.82372778,41.945212579,DUNNING
156,69089,-87.74231826,41.924402342,"BELMONT CRAGIN,HERMOSA"
157,69215,-87.914428439,42.008536401,
158,69228,-87.662493891,41.86921678,"LITTLE ITALY, UIC"
159,69357,-87.708230325,41.956193397,"IRVING PARK,AVONDALE"
160,69441,-87.599500566,41.79152143,HYDE PARK
161,69471,-87.71539914,41.793210649,"ARCHER HEIGHTS,WEST ELSDON"
162,69501,-87.676195083,41.909420031,"WICKER PARK,WEST TOWN"
163,69509,-87.632582135,41.885444388,LOOP
164,69515,-87.669334205,41.961480645,LAKE VIEW
165,69536,-87.622044738,41.891661717,
166,69623,-87.626344413,41.887436519,LOOP
167,69697,-87.604905198,41.744630715,"CHATHAM,BURNSIDE"
